store_id,name,address,latitude,longitude,avg_rating,total_rating,merchant_category,status,next_slot_time,end_time,median_price
96198,92 Degree - Trần Đại Nghĩa,"75 Trần Đại Nghĩa, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",21.00592995,105.8457565,0,0,Cà Phê/Trà,active,3/26/2026 8:00,3/26/2026 22:00,48000
32441,Mì Cay Seoul - Trần Đại Nghĩa,"91 Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng, Hà Nội",21.00428963,105.8455582,4.45,20,Bún/Phở/Mỳ/Cháo,active,3/26/2026 9:00,3/26/2026 22:30,33000
28819,Highlands Coffee -  Trần Đại Nghĩa,"91 Phố Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng, Hà Nội, Việt Nam",21.00411034,105.8455963,4.55,20,Cà Phê/Trà,active,3/26/2026 7:30,3/26/2026 22:45,39000
37364,Quán Ngon - Gà Tần & Bánh Cuốn Nóng - Tạ Quang Bửu,"Số 3A1 Tạ Quang Bửu, Bách Khoa, Hai Bà Trưng, Hà Nội, Hai Bà Trưng, Hà Nội",21.00509071,105.8468018,0,0,Món truyền thống/Đặc sản,active,3/26/2026 9:00,3/26/2026 22:00,30000
118180,1000M - Trà & Trà Sữa Shan Tuyết Thượng Hạng - Trần Đại Nghĩa," 71B Trần Đại Nghĩa, Phường Bạch Mai, Hà Nội",21.00646019,105.8456116,5,20,Trà sữa,active,3/26/2026 8:30,3/26/2026 22:30,0
5117,Phúc Long - Tạ Quang Bửu,"69 Phố Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng, Hà Nội, Việt Nam",21.00653076,105.8454971,4.95,20,Cà Phê/Trà,active,3/26/2026 7:30,3/26/2026 21:30,50000
118304,Tiệm Trà Trái Cây Suncha - Trần Đại Nghĩa,"65 Trần Đại Nghĩa, Phường Bạch Mai, Hà Nội",21.00655937,105.8453598,5,2,Cà Phê/Trà,active,3/26/2026 9:00,3/26/2026 23:00,0
24209,Nước Dừa Trân Châu Phú Yên - Trần Đại Nghĩa,"63 Phố Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng, Hà Nội, Việt Nam",21.00665092,105.8453827,5,2,Sinh tố/Nước ép/Sữa,active,3/26/2026 7:00,3/26/2026 21:30,28000
86930,Bún Cá Cô Minh - Tạ Quang Bửu,"Số 3 Ngõ 40/2 Tạ Quang Bửu, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",21.00382042,105.8466873,4.31,13,Bún/Phở/Mỳ/Cháo,active,3/26/2026 7:00,3/26/2026 21:00,40000
27878,Bánh Tráng Nướng Thảo Tồ - Tạ Quang Bửu,"10 Phố Tạ Quang Bửu, Bách Khoa, Hai Bà Trưng, Hà Nội, Việt Nam",21.00597,105.8471832,4.2,20,Ăn vặt,active,3/26/2026 10:00,3/26/2026 10:59,25000
