user_id,area_id,query_lat,query_lng,time_slot_id,term,desired_price_range_id,preferred_aspects,distance_tolerance_m
u001,hust_tran_dai_nghia,21.0055371,105.843332,lunch,mi|mi_cay|mi_han_quoc,under_50k,value_for_money|staff_service,800
u002,hust_tran_dai_nghia,21.0057377,105.8442233,lunch,bun|pho|chao|mi,under_50k,value_for_money|taste,900
u003,hust_tran_dai_nghia,21.004522,105.843214,lunch,com|com_trua|an_trua,under_50k,staff_service|value_for_money,700
u004,hust_tran_dai_nghia,21.0054575,105.8436577,afternoon,ca_phe|coffee|cafe,50k_100k,work_friendly|space|cleanliness,1200
u005,hust_tran_dai_nghia,21.0053924,105.8434161,afternoon,tra_sua|tea|drink,under_50k,taste|value_for_money,700
u006,hust_tran_dai_nghia,21.0057957,105.84415,dinner,ca_phe|tea|noi_chuyen|hen_gap,50k_100k,space|staff_service|taste,1000
u007,hust_ta_quang_buu,21.0062297,105.8456073,lunch,mi|mi_cay|mi_han_quoc,under_50k,value_for_money|staff_service,800
u008,hust_ta_quang_buu,21.0064104,105.8447133,lunch,bun|pho|chao|mi,under_50k,value_for_money|taste,900
u009,hust_ta_quang_buu,21.0063659,105.8446685,lunch,com|com_trua|an_trua,under_50k,staff_service|value_for_money,700
u010,hust_ta_quang_buu,21.0065953,105.8450775,afternoon,ca_phe|coffee|cafe,50k_100k,work_friendly|space|cleanliness,1200
u011,hust_ta_quang_buu,21.0061168,105.8447936,afternoon,tra_sua|tea|drink,under_50k,taste|value_for_money,700
u012,hust_ta_quang_buu,21.0067501,105.8450305,dinner,ca_phe|tea|noi_chuyen|hen_gap,50k_100k,space|staff_service|taste,1000
u013,hust_le_thanh_nghi,21.0070073,105.8461415,lunch,mi|mi_cay|mi_han_quoc,under_50k,value_for_money|staff_service,800
u014,hust_le_thanh_nghi,21.0074395,105.8464644,lunch,bun|pho|chao|mi,under_50k,value_for_money|taste,900
u015,hust_le_thanh_nghi,21.0073857,105.8464939,lunch,com|com_trua|an_trua,under_50k,staff_service|value_for_money,700
u016,hust_le_thanh_nghi,21.0081637,105.8461171,afternoon,ca_phe|coffee|cafe,50k_100k,work_friendly|space|cleanliness,1200
u017,hust_le_thanh_nghi,21.0069695,105.8459338,afternoon,tra_sua|tea|drink,under_50k,taste|value_for_money,700
u018,hust_le_thanh_nghi,21.0074772,105.846808,dinner,ca_phe|tea|noi_chuyen|hen_gap,50k_100k,space|staff_service|taste,1000
u019,hust_giai_phong_gate,21.0037487,105.8464219,lunch,mi|mi_cay|mi_han_quoc,under_50k,value_for_money|staff_service,800
u020,hust_giai_phong_gate,21.003429,105.8470928,lunch,bun|pho|chao|mi,under_50k,value_for_money|taste,900
u021,hust_giai_phong_gate,21.0041345,105.8470444,lunch,com|com_trua|an_trua,under_50k,staff_service|value_for_money,700
u022,hust_giai_phong_gate,21.0035005,105.8469045,afternoon,ca_phe|coffee|cafe,50k_100k,work_friendly|space|cleanliness,1200
u023,hust_giai_phong_gate,21.0038525,105.8468984,afternoon,tra_sua|tea|drink,under_50k,taste|value_for_money,700
u024,hust_giai_phong_gate,21.0041921,105.8469006,dinner,ca_phe|tea|noi_chuyen|hen_gap,50k_100k,space|staff_service|taste,1000
u025,hust_bach_mai_side,21.0049055,105.8482304,lunch,mi|mi_cay|mi_han_quoc,under_50k,value_for_money|staff_service,800
u026,hust_bach_mai_side,21.0047301,105.8484841,lunch,bun|pho|chao|mi,under_50k,value_for_money|taste,900
u027,hust_bach_mai_side,21.0039443,105.8480561,lunch,com|com_trua|an_trua,under_50k,staff_service|value_for_money,700
u028,hust_bach_mai_side,21.0043883,105.8479125,afternoon,ca_phe|coffee|cafe,50k_100k,work_friendly|space|cleanliness,1200
u029,hust_bach_mai_side,21.0044762,105.8488727,afternoon,tra_sua|tea|drink,under_50k,taste|value_for_money,700
u030,hust_bach_mai_side,21.0042104,105.8486357,dinner,ca_phe|tea|noi_chuyen|hen_gap,50k_100k,space|staff_service|taste,1000
